isoform	compound_inchikey	scaffold_group	label	isoform_specific_knn	pooled_chemical_knn	isoform_logistic
CYP1A2	AAKJLRGGTJKAMG-UHFFFAOYSA-N	ring:c1ccc(Nc2ncnc3ccccc23)cc1	1	0.4231106211301273	0.4036091957139856	0.6572749046852618
CYP1A2	ACWZRVQXLIRSDF-UHFFFAOYSA-N	ring:c1ccc(Nc2ccc3[nH]cnc3c2)cc1	1	0.32829567810895194	0.4027364628224626	0.5150538818613977
CYP1A2	AELCINSCMGFISI-UHFFFAOYSA-N	ring:c1ccc(C2CC2)cc1	0	0.44145101953575483	0.31477995435855116	0.3781235340132253
CYP1A2	AEMFNILZOJDQLW-UHFFFAOYSA-N	ring:O=C1C=C2CCC3C4CCC(=O)C4CCC3C2CC1	0	0.08324114042828623	0.16996503989709386	0.20888050986839313
CYP1A2	AHOUBRCZNHFOSL-UHFFFAOYSA-N	ring:c1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1	1	0.4722141470698641	0.3768018446384207	0.7890707041938261
CYP1A2	AIJTTZAVMXIJGM-UHFFFAOYSA-N	ring:O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12	1	0.3139876034053208	0.3613101450910318	0.12795897083408117
CYP1A2	AJRJPORIQGYFMT-UHFFFAOYSA-N	ring:C=C1NCCC1(c1ccccc1)c1ccccc1	0	0.40271880691707074	0.3612626389389197	0.29028499021748655
CYP1A2	AOJJSUZBOXZQNB-UHFFFAOYSA-N	ring:O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1	0	0.11872718550539396	0.22192142907771495	0.03425198924530861
CYP1A2	ATCGGEJZONJOCL-UHFFFAOYSA-N	ring:N=c1nc(-c2ccccc2)[nH]c(=N)[nH]1	0	0.4658661626008672	0.4640260385359283	0.7839613910954409
CYP1A2	AUZONCFQVSMFAP-UHFFFAOYSA-N	acyclic_connectivity:CCN(CC)C(=S)SSC(=S)N(CC)CC	0	0.44125501786520116	0.3795557762769242	0.6523219721711476
CYP1A2	AXMZZGKKZDJGAZ-UHFFFAOYSA-N	ring:O=C1NCC(c2ccccc2)=C1c1ccccc1	0	0.5204954286763012	0.4202265444711753	0.8553409309530815
CYP1A2	AXRYRYVKAWYZBR-UHFFFAOYSA-N	ring:c1ccc(CCCCNCc2ccc(-c3ccccn3)cc2)cc1	0	0.27089944096447177	0.37381785634726056	0.40442717877197576
